Estación	Cod. Pluvio	Fecha	[mm]
Colonia Itapebí	1257	14/11/2016	0.0
Colonia Itapebí	1257	15/11/2016	0.0
Colonia Itapebí	1257	16/11/2016	38.0
Colonia Itapebí	1257	17/11/2016	0.0
Colonia Itapebí	1257	18/11/2016	0.0
Colonia Itapebí	1257	19/11/2016	0.0
Colonia Itapebí	1257	20/11/2016	0.0
Colonia Itapebí	1257	21/11/2016	0.0
Colonia Itapebí	1257	22/11/2016	0.0
Colonia Itapebí	1257	23/11/2016	0.0
Colonia Itapebí	1257	24/11/2016	0.0
Colonia Itapebí	1257	25/11/2016	0.0
Colonia Itapebí	1257	26/11/2016	63.0
Colonia Itapebí	1257	27/11/2016	1.0
Colonia Itapebí	1257	28/11/2016	0.0
Colonia Itapebí	1257	29/11/2016	0.0
Colonia Itapebí	1257	30/11/2016	0.0
Colonia Itapebí	1257	1/12/2016	0.0
Colonia Itapebí	1257	2/12/2016	23.0
Colonia Itapebí	1257	3/12/2016	0.0
Colonia Itapebí	1257	4/12/2016	0.0
Colonia Itapebí	1257	5/12/2016	0.0
Colonia Itapebí	1257	6/12/2016	0.0
Colonia Itapebí	1257	7/12/2016	0.0
Colonia Itapebí	1257	8/12/2016	0.0
Colonia Itapebí	1257	9/12/2016	0.0
Colonia Itapebí	1257	10/12/2016	0.0
Colonia Itapebí	1257	11/12/2016	0.0
Colonia Itapebí	1257	12/12/2016	0.0
Colonia Itapebí	1257	13/12/2016	3.5
Colonia Itapebí	1257	14/12/2016	0.0
Colonia Itapebí	1257	15/12/2016	0.0
Colonia Itapebí	1257	16/12/2016	0.0
Colonia Itapebí	1257	17/12/2016	0.0
Colonia Itapebí	1257	18/12/2016	0.0
Colonia Itapebí	1257	19/12/2016	0.0
Colonia Itapebí	1257	20/12/2016	0.0
Colonia Itapebí	1257	21/12/2016	0.0
Colonia Itapebí	1257	22/12/2016	25.0
Colonia Itapebí	1257	23/12/2016	7.0
Colonia Itapebí	1257	24/12/2016	0.0
Colonia Itapebí	1257	25/12/2016	17.0
Colonia Itapebí	1257	26/12/2016	10.0
Colonia Itapebí	1257	27/12/2016	0.0
Colonia Itapebí	1257	28/12/2016	0.0
Colonia Itapebí	1257	29/12/2016	0.0
Colonia Itapebí	1257	30/12/2016	0.0
Colonia Itapebí	1257	31/12/2016	0.0
Colonia Itapebí	1257	1/1/2017	0.0
Colonia Itapebí	1257	2/1/2017	0.0
Colonia Itapebí	1257	3/1/2017	55.0
Colonia Itapebí	1257	4/1/2017	10.0
Colonia Itapebí	1257	5/1/2017	0.0
Colonia Itapebí	1257	6/1/2017	0.0
Colonia Itapebí	1257	7/1/2017	0.0
Colonia Itapebí	1257	8/1/2017	0.0
Colonia Itapebí	1257	9/1/2017	31.0
Colonia Itapebí	1257	10/1/2017	0.0
Colonia Itapebí	1257	11/1/2017	0.0
Colonia Itapebí	1257	12/1/2017	0.0
Colonia Itapebí	1257	13/1/2017	0.0
Colonia Itapebí	1257	14/1/2017	0.0
Colonia Itapebí	1257	15/1/2017	8.0
Colonia Itapebí	1257	16/1/2017	4.0
Colonia Itapebí	1257	17/1/2017	0.0
Colonia Itapebí	1257	18/1/2017	0.0
Colonia Itapebí	1257	19/1/2017	0.0
Colonia Itapebí	1257	20/1/2017	0.0
Colonia Itapebí	1257	21/1/2017	0.0
