Estación	Cod. Pluvio	Fecha	[mm]
Pueblo Biassini	1232	11/4/2016	0.0
Pueblo Biassini	1232	11/5/2016	0.0
Pueblo Biassini	1232	11/6/2016	0.0
Pueblo Biassini	1232	11/7/2016	0.0
Pueblo Biassini	1232	11/8/2016	0.0
Pueblo Biassini	1232	11/9/2016	0.0
Pueblo Biassini	1232	11/10/2016	
Pueblo Biassini	1232	11/11/2016	0.0
Pueblo Biassini	1232	11/12/2016	0.0
Pueblo Biassini	1232	11/13/2016	0.0
Pueblo Biassini	1232	11/14/2016	7.0
Pueblo Biassini	1232	11/15/2016	0.0
Pueblo Biassini	1232	11/16/2016	3.0
Pueblo Biassini	1232	11/17/2016	0.0
Pueblo Biassini	1232	11/18/2016	0.0
Pueblo Biassini	1232	11/19/2016	0.0
Pueblo Biassini	1232	11/20/2016	0.0
Pueblo Biassini	1232	11/21/2016	0.0
Pueblo Biassini	1232	11/22/2016	0.0
Pueblo Biassini	1232	11/23/2016	0.0
Pueblo Biassini	1232	11/24/2016	TRAZA
Pueblo Biassini	1232	11/25/2016	0.0
Pueblo Biassini	1232	11/26/2016	75.0
Pueblo Biassini	1232	11/27/2016	10.0
Pueblo Biassini	1232	11/28/2016	0.0
Pueblo Biassini	1232	11/29/2016	0.0
Pueblo Biassini	1232	11/30/2016	0.0
Pueblo Biassini	1232	12/1/2016	0.0
Pueblo Biassini	1232	12/2/2016	60.0
Pueblo Biassini	1232	12/3/2016	0.0
Pueblo Biassini	1232	12/4/2016	0.0
Pueblo Biassini	1232	12/5/2016	0.0
Pueblo Biassini	1232	12/6/2016	0.0
Pueblo Biassini	1232	12/7/2016	0.0
Pueblo Biassini	1232	12/8/2016	0.0
Pueblo Biassini	1232	12/9/2016	0.0
Pueblo Biassini	1232	12/10/2016	0.0
Pueblo Biassini	1232	12/11/2016	0.0
Pueblo Biassini	1232	12/12/2016	0.0
Pueblo Biassini	1232	12/13/2016	10.0
